Pick,Draft_Tm,player_name,Player ID,College,Draft Year,Tot_Yrs,Tot_G,Tot_MP,Tot_PTS,Tot_TRB,Tot_AST,Tot_FG%,Tot_3P%,Tot_FT%,Tot_MP.1,Tot_PTS.1,Tot_TRB.1,Tot_AST.1,Tot_WS,Tot_WS/48,Tot_BPM,Tot_VORP,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,poss,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
1,NJN,Kenyon Martin,martike01,Cincinnati,2000,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1,2004,PF,27,DEN,70,2272,17.5,0.521,0.013,0.34,7.4,18.4,13,13,2.3,2.6,12.5,23.4,1.7,3.6,5.3,0.111,0.1,1,1.1,1.8,4789,-1.153941487,0.980854754,-0.173086734,3.204587702,3.057085963,0.147501739,-0.698860837,1.318004945,0.619144108,0.00023832
1,NJN,Kenyon Martin,martike01,Cincinnati,2000,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1,2003,PF,26,NJN,65,2252,18.7,0.528,0.028,0.327,7,25.3,16.2,13.7,2.3,2.8,14,25,1.5,5.1,6.7,0.142,0.1,1.8,1.9,2.2,5009,-1.487970067,2.533182677,1.04521261,5.198328489,4.039941003,1.158387485,-1.0742894,2.709965041,1.635675641,0.140921911
1,NJN,Kenyon Martin,martike01,Cincinnati,2000,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1,2002,PF,25,NJN,77,2628,16.9,0.511,0.04,0.362,7.1,20.7,13.9,13,2,2,13.3,24.8,1.8,5.3,7.1,0.129,-0.2,1.2,1,2,6545,-0.67945115,1.575638489,0.896187338,6.426840516,4.383520023,2.043320493,-0.246955216,1.980837416,1.733882201,0.307438872
1,NJN,Kenyon Martin,martike01,Cincinnati,2000,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1,2001,PF,24,NJN,73,2504,14.5,0.503,0.07,0.278,5,12.4,8.7,13,1.9,3.5,13.7,22.4,0.6,4.2,4.9,0.093,-1,1.4,0.4,1.5,6301,-1.669782885,1.229848618,-0.439934267,3.864376999,3.18670757,0.677669429,-1.201978085,1.535645816,0.333667731,0.201588997
1,NJN,Kenyon Martin,martike01,Cincinnati,2000,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1,2000,PF,23,NJN,68,2272,13.4,0.472,0.014,0.247,6.7,19,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044,-2.1,0.4,-1.7,0.2,4395,-3.08990837,-0.025848859,-3.115757229,-0.424924535,-0.424924535,0,-2.702578235,0.50563849,-2.196939745,0.206497668
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2008,PF,29,TOT,19,185,6.8,0.46,0.018,0.464,10.4,18.6,14.6,2.4,1.1,3.3,19.2,20.3,-0.3,0.2,-0.1,-0.033,-7.9,-1.7,-9.5,-0.4,366,-5.550934813,-1.458906576,-7.009841389,-0.413143003,-0.413143003,0,-5.231767947,-1.282962002,-6.514729949,1.770580829
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2008,PF,29,NJN,6,64,6.6,0.58,0,0.733,9.2,15.1,12.1,2.6,0,2.6,26.1,19.6,-0.1,0,0,-0.026,-7.7,-1.7,-9.5,-0.1,366,-5.550934813,-1.458906576,-7.009841389,-0.413143003,-0.413143003,0,-5.231767947,-1.282962002,-6.514729949,1.770580829
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2008,PF,29,PHO,13,121,6.8,0.41,0.024,0.366,11,20.4,15.9,2.3,1.7,3.6,15.9,20.6,-0.2,0.1,-0.1,-0.037,-7.9,-1.7,-9.6,-0.2,366,-5.550934813,-1.458906576,-7.009841389,-0.413143003,-0.413143003,0,-5.231767947,-1.282962002,-6.514729949,1.770580829
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2007,PF,28,TOT,56,844,14.8,0.548,0.008,0.411,8.5,18.3,13.4,5.1,0.9,4.8,14,19.3,0.6,0.8,1.4,0.078,-2.6,-0.2,-2.8,-0.2,1672,-2.693042007,-1.143211357,-3.836253364,-0.473557511,-0.473557511,0,-2.955158139,-1.388906608,-4.344064747,0.395078616
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2007,PF,28,MEM,35,549,15.9,0.56,0.011,0.458,9.3,17.1,13.2,6.6,0.9,4.8,15.5,20.4,0.4,0.5,0.9,0.079,-2,0.1,-1.9,0,1672,-2.693042007,-1.143211357,-3.836253364,-0.473557511,-0.473557511,0,-2.955158139,-1.388906608,-4.344064747,0.395078616
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2007,PF,28,NJN,21,295,12.7,0.523,0,0.318,7.1,20.5,13.7,2.3,0.9,4.7,10.7,17.4,0.1,0.3,0.5,0.074,-3.7,-0.7,-4.4,-0.2,1672,-2.693042007,-1.143211357,-3.836253364,-0.473557511,-0.473557511,0,-2.955158139,-1.388906608,-4.344064747,0.395078616
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2006,C,27,MEM,54,1029,14.2,0.517,0.014,0.387,9.9,19.2,14.5,2.8,1.5,4.6,14.6,20.8,0.2,0.8,1,0.047,-3,-0.9,-4,-0.5,2030,-4.003627575,-0.980025723,-4.983653298,-1.175969598,-1.175969598,0,-3.560211353,-0.717287193,-4.277498545,0.262703556
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2005,C,26,HOU,66,1344,14.6,0.533,0.004,0.456,9.1,16.1,12.7,3.6,1.5,3,14.2,22.7,0.4,2.1,2.5,0.091,-2.8,0.1,-2.7,-0.2,2492,-3.925415709,-0.134319332,-4.059735041,-0.9040231,-0.9040231,0,-3.723719522,-0.048740767,-3.77246029,0.60463936
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2004,PF,25,MEM,60,1279,16.7,0.517,0.008,0.449,8.7,16.9,12.8,6.2,1.7,5.7,13.3,24.9,0.6,2.3,2.9,0.107,-2.4,1.1,-1.3,0.2,2478,-2.213855685,-0.290836937,-2.504692622,0.165357572,0.094782908,0.070574664,-2.038617795,-0.214066877,-2.252684672,0.254712994
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2003,PF,24,MEM,77,1528,19.2,0.53,0.007,0.459,10.3,17.7,14,4.4,1.9,5.6,11.4,22.8,2.4,2.4,4.8,0.15,-0.2,0.7,0.5,1,3077,-1.186476344,-0.155916408,-1.342392752,1.146883249,1.138405836,0.008477412,-1.046871989,-0.22330028,-1.27017227,-0.122401587
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2002,PF,23,MEM,67,1478,18,0.542,0.004,0.501,8.8,20.3,14.6,5,1.9,4.8,14.2,21.2,1.6,1.7,3.3,0.108,-0.7,0.5,-0.1,0.7,2887,-1.698035494,0.504447658,-1.193587836,1.171479389,1.171479389,0,-1.549050088,0.258809286,-1.290240803,-0.17049349
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2001,PF,22,MEM,68,1805,17.2,0.539,0.005,0.499,10,16.6,13.3,5,1.5,4.3,14.1,21.8,1.7,2,3.7,0.099,-1,0,-1,0.4,3465,-1.982280577,-0.615960631,-2.598241208,0.139409794,0.139409794,0,-2.153981314,-0.640769442,-2.794750756,-0.227586801
2,VAN,Stromile Swift,swiftst01,LSU,2000,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1,2000,PF,21,VAN,80,1312,13.1,0.487,0.012,0.416,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,0.2,1.6,1.9,0.069,-2.9,0.9,-2,0,2535,-2.463716567,0.350211891,-2.113504676,0.426876459,0.426876459,0,-2.436664721,0.301746878,-2.134917842,0.177220519
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2008,SF,27,MEM,34,298,16.1,0.533,0.061,0.313,7.7,15.9,11.7,10.1,2,5.5,15.7,21,0.1,0.4,0.5,0.077,-0.7,1.6,0.9,0.2,566,-1.891602884,0.311092978,-1.580509907,0.177865024,0.177865024,0,-2.312888184,-0.893141327,-3.206029511,0.029341544
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2005,SF,24,POR,40,1286,12.5,0.48,0.02,0.32,2.2,15,8.5,10.8,1.8,2.3,14.5,25.1,-1.6,0.6,-1,-0.037,-2.5,-0.9,-3.4,-0.4,2374,-3.759692633,0.827947155,-2.931745478,-0.119428542,-0.119428542,0,-3.457761528,0.601018018,-2.85674351,0.140010482
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2004,SF,23,POR,63,1699,15.5,0.511,0.033,0.308,5,14.9,10.2,14.2,2.4,3.3,16.6,25.7,-0.7,2,1.3,0.036,-1.5,0.8,-0.6,0.6,3215,-2.384562088,1.378536765,-1.006025323,1.518429935,1.518429935,0,-2.159809471,1.23899733,-0.92081214,0.407936045
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2003,SF,22,TOT,79,2079,16.1,0.514,0.053,0.256,6.2,13.6,9.9,14,1.8,2.1,13.4,21.5,1.9,1.7,3.6,0.083,0.4,0,0.4,1.3,3862,-0.949710953,0.056083057,-0.893627896,2.010710594,2.010710594,0,-1.007200422,-0.316153048,-1.323353471,0.039462328
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2003,SF,22,CLE,37,888,12.7,0.455,0.091,0.218,6,14.8,10.4,15.7,1.5,2.2,13.4,21.1,-0.2,0.8,0.6,0.032,-1.4,-0.2,-1.6,0.1,3862,-0.949710953,0.056083057,-0.893627896,2.010710594,2.010710594,0,-1.007200422,-0.316153048,-1.323353471,0.039462328
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2003,SF,22,POR,42,1191,18.6,0.559,0.024,0.287,6.4,12.7,9.6,12.8,2,2.1,13.5,21.8,2.1,0.9,3,0.121,1.7,0.2,1.9,1.1,3862,-0.949710953,0.056083057,-0.893627896,2.010710594,2.010710594,0,-1.007200422,-0.316153048,-1.323353471,0.039462328
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2002,SF,21,CLE,67,2008,9.7,0.435,0.022,0.241,6.2,14.2,10.1,14.9,1.7,2.4,20,19.2,-2.7,1.4,-1.3,-0.032,-3.2,-0.5,-3.7,-0.8,3977,-4.103717883,0.253679192,-3.850038691,-1.124485677,-1.124485677,0,-4.041855984,-0.208629672,-4.250485656,-0.202940483
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2001,SF,20,LAC,82,2227,14.4,0.516,0.03,0.397,5.6,17.3,11.5,13.5,1.7,3.2,17.5,18.5,0.8,2.6,3.4,0.074,-0.7,1.3,0.6,1.5,4228,-1.269435912,1.312540494,0.043104582,3.169014974,3.169014974,0,-1.338301231,0.792956661,-0.545344569,-0.131689415
3,LAC,Darius Miles,milesda01,,2000,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1,3,2000,SF,19,LAC,81,2133,14.7,0.518,0.03,0.378,7,18.3,12.8,8.1,1.3,4.1,16.7,19.1,0.5,2.6,3,0.068,-1.3,0.8,-0.5,0.8,4027,-1.432493104,2.335750396,0.903257291,3.971722655,3.971722655,0,-1.609711183,1.665869289,0.056158106,-0.091946541
